"39115;CONTROL APPLICATION;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39115;JUDGMENT OF PILOT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39115;PERCEPTION;PSYCHOLOGICAL ASPECT;INDIVIDUAL;HUMAN FACTOR"
"39115;PLANNING FLIGHT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39115;LITTLE PILOT EXPERIENCE;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39115;DECISION MAKING;PSYCHOLOGICAL ASPECT;INDIVIDUAL;HUMAN FACTOR"
"39156;AIRCRAFT MAINTENANCE;BEING HUMAN PERFORMANCE;Aircraft maintenance;OPERATING FACTOR"
"39156;PLANNING MANAGEMENT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39156;SUPERVISORY MANAGEMENT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39235;PLANNING FLIGHT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39235;LITTLE PILOT EXPERIENCE;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39275;CONTROL APPLICATION;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39275;CULTURE OF THE WORKING GROUP;PSYCHOLOGICAL ASPECT;Psychosocial;HUMAN FACTOR"
"39275;ORGANIZATIONAL CULTURE;PSYCHOLOGICAL ASPECT;ORGANIZATIONAL;HUMAN FACTOR"
"39275;STRESS;PSYCHOLOGICAL ASPECT;INDIVIDUAL;HUMAN FACTOR"
"39275;FATIGUE;ASPECT MEDICAL;***;HUMAN FACTOR"
"39275;""EDUCATION; TRAINING AND TRAINING"";PSYCHOLOGICAL ASPECT;ORGANIZATIONAL;HUMAN FACTOR"
"39275;INSTRUCTION;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39275;AIRCRAFT MAINTENANCE;BEING HUMAN PERFORMANCE;Aircraft maintenance;OPERATING FACTOR"
"39275;PRODUCT;ASPECT MEDICAL;***;HUMAN FACTOR"
"39275;ORGANIZATION OF WORK;PSYCHOLOGICAL ASPECT;ORGANIZATIONAL;HUMAN FACTOR"
"39275;SUPPORT STAFF;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39275;PLANNING MANAGEMENT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39275;SUPERVISORY MANAGEMENT;BEING HUMAN PERFORMANCE;OPERATION OF AIRCRAFT;OPERATING FACTOR"
"39315;ATTITUDE;PSYCHOLOGICAL ASPECT;INDIVIDUAL;HUMAN FACTOR"
"39315;ADVERSE WEATHER CONDITIONS;***;***;***"
