39115;ACIDENTE;-133.805.555.556;-446.172.222.222;CORRENTINA;BA;BRASIL;SNTY;07/02/2010;17:40:00;SIM;FINALIZADA;A-031/CENIPA/2011;SIM;21/07/2011;2;1;NÃO
39155;INCIDENTE;***;***;BELO HORIZONTE;MG;BRASIL;****;05/02/2010;12:55:00;SIM;FINALIZADA;NULL;NÃO;NULL;0;1;NÃO
39156;INCIDENTE GRAVE;-152.402.777.778;-593.541.666.667;CASCAVEL;PR;BRASIL;SBCA;10/01/2010;23:15:00;SIM;FINALIZADA;I-004/CENIPA/2011;SIM;30/06/2011;2;1;NÃO
39158;INCIDENTE;***;***;BELÉM;PA;BRASIL;****;28/01/2010;16:00:00;SIM;FINALIZADA;NULL;NÃO;NULL;0;1;NÃO
39176;INCIDENTE;;;SÃO LUÍS;MA;BRASIL;****;05/02/2010;09:30:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39178;INCIDENTE;;;CAMPINAS;SP;BRASIL;****;08/02/2010;12:33:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
39235;ACIDENTE;-180.583.333.333;-501.458.333.333;ITUMBIARA;GO;BRASIL;****;06/02/2010;17:20:00;SIM;FINALIZADA;A-067/CENIPA/2011;SIM;29/08/2011;3;1;NÃO
39275;ACIDENTE;-235.758.333.333;-467.022.222.222;SÃO PAULO;SP;BRASIL;****;10/02/2010;09:03:00;SIM;FINALIZADA;A-009/CENIPA/2014;SIM;22/04/2016;3;1;NÃO
39295;ACIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;****;06/02/2010;21:09:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
39315;ACIDENTE;-6.615;-641.116.666.667;CANUTAMA;AM;BRASIL;****;15/01/2010;21:22:00;***;FINALIZADA;A-519/CENIPA/2016;SIM;08/02/2017;0;1;NÃO
39316;ACIDENTE;-271.919.444.444;-498.313.888.889;RIO DO OESTE;SC;BRASIL;****;04/02/2010;17:55:00;SIM;FINALIZADA;A-011/CENIPA/2011;SIM;18/05/2011;2;1;NÃO
39317;ACIDENTE;***;***;RIO VERDE;GO;BRASIL;SWLC;24/02/2010;13:00:00;***;FINALIZADA;ENCERRADA NO RAI;NÃO;NULL;0;1;NÃO
39318;ACIDENTE;-2.6;-518.441.666.667;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;****;25/01/2010;16:20:00;***;FINALIZADA;A-122/CENIPA/2012;SIM;19/11/2012;5;1;NÃO
